KEY,"English"
M_01_NAME,"Under Assault"
M_01_DESC,"[i]The Rebellion scrambles to evacuate its base on Yavin 4 before the Empire can send reinforcements following the destruction of the Death Star. Will you escape with your lives?[/i]"
M_01_MINOR_PERIL_1,"[b]Minor Peril[/b]\n\n[i]The stress of the battle is starting to get to you.[/i]\n\nEach hero may test . Each hero that does not pass suffers 1."
M_01_MINOR_PERIL_2,"[b]Minor Peril[/b]\n\n[i]The oppressive jungle heat saps your strength.[/i]\n\nEach hero may test . Each hero that does not pass suffers 1."
M_01_MAJOR_PERIL_1,"[b]Major Peril[/b]\n\n[i]A frag grenade lands at {0}’s feet and explodes.[/i]\n\nRoll 1 red die. Each figure on or adjacent to {0}’s space suffers  equal to the  results."
M_01_MAJOR_PERIL_2,"[b]Major Peril[/b]\n\n[i]A shock grenade lands at {0}’s feet and explodes.[/i]\n\nRoll 1 yellow die. Each figure on or adjacent to {0}’s space suffers  equal to the  results and becomes Stunned."
M_01_CRATE,"[i]This crate of supplies was left behind in the rush to evacuate. Perhaps it contains something useful.[/i]\n\nA hero can interact with this crate to open it."
M_01_DOOR_1,"[i]This door leads into the Rebel base. You must ensure the Imperials are not able to breach it.[/i]\n\n{0}"
M_01_DOOR_2,"[i]This door leads deeper into the base. Keep the Imperial forces away from it as long as you can.[/i]\n\n{0}"
M_01_OBJECTIVE_PROBES,"Defeat the Probe Droids."
M_01_OBJECTIVE_BUY_TIME,"Hold off the Imperial forces until the last transports can escape."
M_01_SETUP,"[i]Most of the transports have departed Yavin 4, yet you remain, tasked with providing security to the last few ships that are still being loaded. You are patrolling the perimeter of the base, keeping an eye out for any Imperial forces that might slip past the base’s sensors and lookouts to land on the surface.[/i]\n\nPlace tiles 03A, 05A, 06A, 07A, 08A, 09A, 17A, 18A(2), 38B, and 1 door."
M_01_ENTRANCE,"[i]Your squad gathers at the entrance to one of the base’s docking facilities, having just completed another circuit around the structure.[/i]\n\nDeploy the Rebels."
M_01_EPROBE_DEPLOYS,"[i]You are sharing your reports from your latest patrols when you hear an unusual humming sound coming from the direction of the forest. You turn slowly, eyes searching the dense overgrowth for the source of the sound. Then you see it: an Imperial probe droid![/i]\n\nDeploy the elite Probe Droid."
M_01_PROBES_DEPLOY,"[i]As you raise your weapon to attack the droid, similar humming noises begin on either side of you, and you spot two more probe droids emerging from the cover of the trees![/i]\n\nDeploy a regular Probe Droid. Assign it a color."
M_01_PROBES_DEPLOY_2,"Deploy a regular Probe Droid. Assign it a color."
M_01_KILL_PROBES,"[i]You radio in to the command center to report the probe droids. ""Take them out! Quickly!"" a woman's voice replies. This is the officer on duty, Lieutenant Talcon. ""If they signal back to their ship, the Empire will know where to send their troops!""\n\nYou need to defeat the probe droids before they can signal their ship.[/i]\n\n  Objective Updated  \n\nDefeat the Probe Droids."
M_01_PROBES_ALERT,"[i]The surviving probe droids extend their antennae and broadcast their location to their ship. You can be sure that more Imperial forces are on the way![/i]"
M_01_PROBE_ALERT,"[i]The surviving probe droid extends its antenna and broadcasts its location to its ship. You can be sure that more Imperial forces are on the way![/i]"
M_01_PROBES_DEAD,"[i]""Good work taking out those probe droids!"" says Lieutenant Talcon. ""Several Imperial Star Destroyers have just been detected. You can be sure that more Imperial forces are on their way, but at least you bought us some extra time!""[/i]"
M_01_IMPERIALS_ARRIVE,"[i]Moments later, more Imperial troops come crashing through the underbrush, weapons hot![/i]"
M_01_TROOPERS_PLACE,"[i]The door to the base opens just long enough for three Rebel troopers to rush out onto the battlefield, and the door quickly closes behind them.[/i]\n\nDeploy the regular Rebel Trooper group. Then each Rebel Trooper gains 6 movement points."
M_01_STAY_ALIVE,"[i]""Imperial forces inbound!"" Lieutenant Talcon calls out. ""Hold them off as long as you can while we finish loading the last of the transports. If you start taking too many casualties, fall back into the base. May the Force be with you!""[/i]\n\n  Objective Updated  \n\nHold off the Imperial forces until the last transports can escape."
M_01_REINFORCEMENTS,"[i]More Imperial forces come bursting out of the jungle.[/i]"
M_01_VILLAIN,"[i]An ominous figure emerges from the dense jungle foliage.[/i]"
M_01_STORMTROOPERS,"[i]A squad of stormtroopers ambushes you![/i]\n\nDeploy a regular Stormtrooper group. Assign it a color."
M_01_SHIPS_LEFT,"[i]""Only {0} transports have yet to depart!"" Lieutenant Talcon says over the comlink. ""Keep standing strong!"""
M_01_SHIP_LEFT,"[i]""Just one transport left!"" Lieutenant Talcon calls over the comlink. ""Hold on just a little longer!"""
