KEY,"English"







RAID_1_DESCRIPTION,"[i]Your trusted contact provided detailed blueprints to an Imperial communications outpost. The facility will be vulnerable during maintenance, but not defenseless.\n
Gear up and hit the Imperials as hard as you can![/i]\n
Each hero starts with a 1 and 2XP Class card. Assign these on the training screen and spend credits at the armory before beginning this raid."
RAID_1_PROLOGUE,"[i]You gather around the holoprojector to receive the latest encrypted message.\n
""Agents,"" the familiarly distorted figure addresses you, ""a strike team recently acquired blueprints to an Imperial communications outpost on Malastare. In three days, the facility is scheduled for routine maintenance and its perimeter detection will be disabled. Infiltrate the facility and gather whatever intel you can.\n
""Expect resistance. Operational funds have been transferred to your accounts.\n
""Fulcrum out.""[/i]\n\n
Each hero starts with a 1 and 2XP Class card. Assign these on the training screen and spend your credits at the armory before beginning this raid."


RAID_1_EPILOGUE_DEFEAT,"You died."
RAID_1_EPILOGUE_VICTORY,"You survived."
RAID_1_TILES,"[i]Crawling through a twisting network of ventilation tunnels you take the opportunity to chart the outpost.[/i]\n\nPlace tiles 01A, 03A, 04A, 05A, 06A, 07A, 01A, 02A, 05A, 10A, 25A, 27A, 31A, 32A(2), 33A, 35A(2), and 36A(4)."
RAID_1_CRATES,"[i]Some very valuable supplies have been left unlocked.[/i]\n\nPlace 4 crates."
RAID_1_TOKENS,"[i]Scanning for Imperial intel, you note several promising locations.[/i]\n\nPlace 3 blue, 3 green, 3 red, and 3 yellow mission tokens.\n\nSee the rules for mission tokens at the bottom of the screen."
RAID_1_RULE,"Mission tokens are intel. A hero can interact with intel to gather it.
-----------------------------------------------------
Gathering intel requires a test, based on the intel's color, that increases fame earned:
• Red:      
• Blue:     
• Yellow:  
• Green:  Any"
RAID_1_STORMTROOPERS,"[i]Imperial forces patrol the shadowy facility.[/i]\n\nDeploy Stormtroopers (Regular)."
RAID_1_DEPLOY,"[i]Ready for a fight, you kick the ventilation grate to the floor and leap into battle.[/i]\n\nDeploy the Rebels.{0}{1}"
RAID_1_FOCUS,"\n\nFocus 1 hero."
RAID_1_GAINED_MEDPAC,"\n\nYou gained 1 medpac."
RAID_1_OBJECTIVE_UPDATE,"[i]The reports were clear that you'd only have six minutes before you need to get out. [/i]\n\n Objective Updated \n\n{0}"
RAID_1_OBJECTIVE,"Defeat as many Imperial groups and gather as much intel as possible in 6 rounds."
RAID_1_VILLAIN,"[i]You recognize a villainous silhouette from the briefing holorecordings.[/i]"
RAID_1_REINFORCE,"[i]Reinforcements join the battle.[/i]"

RAID_1_WARNING_1,"[i]Using pilfered clearance codes, you listen in on enemy comm channels. ""Delay the intruders,"" an Imperial dispatcher advises. ""Reinforcements are en route"".[/i]\n\nImperial reinforcements will arrive after the next round."
RAID_1_WARNING_3,"[i]The Imperial channel crackles again as more reinforcements arrive outside the facility. You glance at your chronometers: 3 minutes left.[/i]\n\nReinforcements will arrive after the next round.\n\nThe mission will end after 3 more rounds."
RAID_1_WARNING_4,"[i]""More backup on the way,""  the Imperial dispatcher inadvertently warns you.[/i]\n\nReinforcements will arrive after the next round.\n\nThe mission will end after 2 more rounds."
