KEY,"English"
C_02_PROLOGUE,"[i]Peril! As the Galactic Civil War rages on, the tyrannical Empire employs a despicable new tactic: targeting families and other noncombatants. Brave soldiers of the Rebel Alliance seek shelter for these innocent civilians, guiding a convoy to safety on a hidden Rebel world.

Following a devastating ambush and a fierce battle, one Rebel transport escapes the carnage. The survivors aboard this ship flee through space until their hyperdrive gives out near the remote desert planet of Tatooine. Cut off from the rest of the Rebel Alliance, they have no choice but to risk a confrontation with the vile gangster Jabba the Hutt.

The damaged Rebel ship crash lands in the burning desert, and the able-bodied set out to find help....[/i]"
JR_SURVIVOR_DIALA,"Nima"
JR_SURVIVOR_FENN,"Danjef"
JR_SURVIVOR_GAARKHAN,"Kitwarr"
JR_SURVIVOR_GIDEON,"Raxim"
JR_SURVIVOR_JYN,"Marja"
JR_SURVIVOR_MAK,"Nya"
JR_SURVIVOR_BIV,"Rina"
JR_SURVIVOR_SASKA,"Cienon"
JR_SURVIVOR_LOKU,"Ahoec"
JR_SURVIVOR_MHD19,"Palia"
JR_SURVIVOR_VERENA,"Ardus"
JR_SURVIVOR_DAVITH,"Sola"
JR_SURVIVOR_MURNE,"Ernir"
JR_SURVIVOR_ONAR,"Rafan"
JR_SURVIVOR_SHYLA,"Vera"
JR_SURVIVOR_VINTO,"Eenko"
JR_SURVIVOR_KO-TUN,"Shil-Ran"
JR_SURVIVOR_JARROD,"Efrain"
JR_SURVIVOR_DROKKATA,"Deggen"
JR_SURVIVOR_DESCRIPTION_DIALA_A,"Diala's grandmother"
JR_SURVIVOR_DESCRIPTION_DIALA_B,"the old Twi'lek woman"
JR_SURVIVOR_COMBINED_DIALA_A,"Diala's grandmother Nima"
JR_SURVIVOR_COMBINED_DIALA_B,"the old Twi'lek woman Nima"
M_21_SURVIVOR_ONCLICK_DIALA_A,"[i]Nima, Diala's elderly grandmother, sits with her needlework, unconcerned with the Imperials.[/i]"
M_21_SURVIVOR_ONCLICK_DIALA_B,"[i]Nima, an elderly Twi'lek, sits with her needlework, unconcerned with the Imperials.[/i]"
M_21_SURVIVOR_RESCUE_DIALA,"[i]Nima is thrilled to see you again, and only remembers to escape after you remind her.[/i]"
M_21_SURVIVOR_VICTORY_DIALA_A," ""In all my days!"" Nima exclaims without finishing her thought. She wipes her glasses before taking Diala's hand. ""I suppose there's no such thing as 'too old for this,' is there?"""
M_21_SURVIVOR_VICTORY_DIALA_B," ""In all my days!"" Nima exclaims without finishing her thought. She wipes her glasses before looking to you warmly. ""I suppose there's no such thing as 'too old for this,' is there?"""
M_21_SURVIVOR_DEFEAT_DIALA_A," ""In all my days!"" Nima exclaims without finishing her thought. She wipes her glasses before taking Diala's hand. ""I suppose there's no such thing as 'too old for this,' is there?"""
M_21_SURVIVOR_DEFEAT_DIALA_B," ""In all my days!"" Nima exclaims without finishing her thought. She wipes her glasses before looking to you warmly. ""I suppose there's no such thing as 'too old for this,' is there?"""
M_26_SURVIVOR_DIALA_A,"""Diala?"" Nima asks, adjusting her glasses. Satisfied she's seeing straight, she hugs her granddaughter. ""I was so worried about you!""\n\nAmazed to find her grandmother alive and well, Diala asks how Nima ended up at the listening post. ""After the crash, that stormtrooper captain took us to an Imperial outpost, though I'm afraid I don't know where. I was brought here this morning to treat my aching back,"" the old Twi'lek recounts.\n\nYou ask if the other survivors are safe. ""Oh, yes,"" Nima responds, tired from the bacta treatment. ""We've been treated well, but nobody's been allowed to leave."""
M_26_SURVIVOR_DIALA_B,"""Diala?"" Nima asks, adjusting her glasses. ""No. Oh, it's you!"" she exclaims, recognizing you from the crashed ship. ""Oh, I'm glad you kids are all right.""\n\nAmazed to find one of the captured survivors alive and well, you ask how Nima ended up at the listening post. ""After the crash, that stormtrooper captain took us to an Imperial outpost, though I'm afraid I don't know where. I was brought here this morning to treat my aching back,"" the old Twi'lek recounts.\n\nYou ask if the other survivors are safe. ""Oh, yes,"" Nima responds, tired from the bacta treatment. ""We've been treated well, but nobody's been allowed to leave."""
ENCOUNTER_31_SURVIVOR_DIALA_A,"[i]You find Nima, Diala's grandmother, knitting to ease her nerves.\n\n""Oh, Diala,"" Nima reassures her granddaughter. ""You just focus on what you need to do, dearie. I'll be all right.""\n\nThe Twi'leks share an embrace through the cell bars before you move on.[/i]"
ENCOUNTER_31_SURVIVOR_DIALA_B,"[i]You find Nima, the elderly Twi'lek, knitting to ease her nerves.\n\n""Oh, dearies,"" Nima reassures you as you approach. ""You just focus on what you need to do. I'll be all right.""\n\nThe Twi'lek holds your hands through the cell bars for a moment before you move on.[/i]"
ENCOUNTER_32_SURVIVOR_DIALA_A,"[i]""Dearie, I am happy you are safe,"" Nima says, embracing her granddaughter Diala. Diala asks how Jabba has been treating her.\n\n""Well enough,"" Nima replies, ""but that won't last. If you have an opportunity to escape without me, you must take it.""[/i]"
ENCOUNTER_32_SURVIVOR_DIALA_B,"[i]""Dearies, I am happy you are safe,"" Nima says, embracing each of you with her frail arms. You ask how Jabba is treating her.\n\n""Well enough,"" Nima replies, ""but that won't last. If you have an opportunity to escape without me, you must take it.""[/i]"
ENCOUNTER_32_SURVIVOR_PUNISHMENT_DIALA_A,"[i]""We will be all right, dearie,"" Nima says to her granddaughter Diala with a reassuring pat on the shoulder. ""I could hardly stomach the food here anyway. Don't let that horrible slug make you do anything you would regret on our account.""[/i]"
ENCOUNTER_32_SURVIVOR_PUNISHMENT_DIALA_B,"[i]""We will be all right, dearies,"" the old woman Nima says to you with a reassuring pat on the shoulder. ""I could hardly stomach the food here anyway. Don't let that horrible slug make you do anything you would regret on our account.""[/i]"
EPILOGUE_SURVIVOR_DIALA_A,"[i]""I never doubted you, dear,"" Nima reassures to her granddaughter Diala. ""Your grandfather and I made it through the Clone Wars; this was nothing. Now let's get back home to Ryloth. I'm sure everyone is worried sick about us.""[/i]"
EPILOGUE_SURVIVOR_DIALA_B,"[i]""I never doubted you youngsters,"" Nima reassures you. ""My husband and I made it through the Clone Wars; this was nothing. Now I just need to get back home to Ryloth. I'm sure my grandchildren are worried sick about me.""[/i]"
JR_SURVIVOR_DESCRIPTION_FENN_A,"Fenn's little brother"
JR_SURVIVOR_DESCRIPTION_FENN_B,"the young boy Danjef"
JR_SURVIVOR_COMBINED_FENN_A,"Fenn's little brother Danjef"
JR_SURVIVOR_COMBINED_FENN_B,"the young boy Danjef"
M_21_SURVIVOR_ONCLICK_FENN_A,"[i]Danjef, Fenn's little brother, hides in a small trench and watches the battle intently.[/i]"
M_21_SURVIVOR_ONCLICK_FENN_B,"[i]Danjef, a young boy, hides in a small trench and watches the battle intently.[/i]"
M_21_SURVIVOR_RESCUE_FENN,"[i]Danjef follows your instructions exactly, and runs to safety.[/i]"
M_21_SURVIVOR_VICTORY_FENN_A," ""I've never seen a battle up close before,"" Danjef says, nestled up to Fenn. ""It's scarier than I thought, but when I grow up, I'll be brave like you, big brother!"""
M_21_SURVIVOR_VICTORY_FENN_B," ""I've never seen a battle up close before,"" Danjef says, excited to talk with you. ""It's scarier than I thought, but when I grow up, I'll be brave like you!"""
M_21_SURVIVOR_DEFEAT_FENN_A," ""I've never seen a battle up close before,"" Danjef says, nestled up to Fenn. ""It's scarier than I thought, but when I grow up, I'll be brave like you, big brother!"""
M_21_SURVIVOR_DEFEAT_FENN_B," ""I've never seen a battle up close before,"" Danjef says, excited to talk with you. ""It's scarier than I thought, but when I grow up, I'll be brave like you!"""
M_26_SURVIVOR_FENN_A,"""Fenn!"" Danjef shouts as he leaps into his big brother's arms. ""I told everyone you were coming back!""\n\nAmazed to find his little brother in such good spirits, Fenn asks how Danjef ended up at the listening post. ""After the crash, that dewback guy took us to a big building. He brought me here this morning to fix my arm,"" Danjef says, picking at a few freshly healed cuts on his left arm.\n\nYou ask if the other survivors are safe. ""Yeah,"" Danjef responds, clearly tired from the bacta treatment. ""Everybody's doing okay, but we're not allowed to leave."""
M_26_SURVIVOR_FENN_B,"""Yay!"" Danjef shouts as he leaps into your arms. ""I told everyone you were coming back!""\n\nAmazed to find one of the captured survivors in such good spirits, you ask how Danjef ended up at the listening post. ""After the crash, that dewback guy took us to a big building. He brought me here this morning to fix my arm,"" Danjef says, picking at a few freshly healed cuts on his let arm.\n\nYou ask if the other survivors are safe. ""Yeah,"" Danjef responds, clearly tired from the bacta treatment. ""Everybody's doing okay, but we're not allowed to leave."""
ENCOUNTER_31_SURVIVOR_FENN_A,"[i]As you approach, Fenn's little brother Danjef rushes to the door.\n\n""Fenn!"" Danjef shouts. ""It's scary here, Fenn. Didn't we beat the bad guys?""\n\nFenn reassures his little brother that things will be all right before you move on.[/i]"
ENCOUNTER_31_SURVIVOR_FENN_B,"[i]As you approach, the young boy Danjef rushes to the door.\n\n""Hey! Over here!"" Danjef shouts. ""It's scary here. Didn't we beat the bad guys?""\n\nYou reassure the boy that things will be all right before you move on.[/i]"
ENCOUNTER_32_SURVIVOR_FENN_A,"[i]You think you hear sobbing coming from the cell before the door opens. Inside, you see Danjef sitting on the pile of straw that is his bed.\n\n""Big brother!"" Danjef calls out when he sees Fenn arrive. He runs over and wraps his arms around Fenn's legs. Fenn asks the boy if he is okay.\n\n""Yes,"" Danjef replies, convincing no one. ""I'm trying to be brave, but...I want to go home.""[/i]"
ENCOUNTER_32_SURVIVOR_FENN_B,"[i]You think you hear sobbing coming from the cell before the door opens. Inside, you see Danjef sitting on the pile of straw that is his bed.\n\n""My friends!"" Danjef calls out when he sees you. He runs over and wraps his arms around your legs. You ask the boy if he is okay.\n\n""Yes,"" Danjef replies, convincing no one. ""I'm trying to be brave, but...I want to go home.""[/i]"
ENCOUNTER_32_SURVIVOR_PUNISHMENT_FENN_A,"[i]""But my tummy hurts,"" Danjef says to his brother Fenn. The young boy is on the verge of tears. ""Can't you make the big man give us the food?""[/i]"
ENCOUNTER_32_SURVIVOR_PUNISHMENT_FENN_B,"[i]""But my tummy hurts,"" Danjef says. The young boy is on the verge of tears. ""Can't you make the big man give us the food?""[/i]"
EPILOGUE_SURVIVOR_FENN_A,"[i]""I don't know if I can ever be as brave as you, Fenn,"" Danjef says to his big brother. ""But if people like Jabba keep trying to hurt people like us, I promise to try."" Fenn makes his brother add, ""When I'm older.""[/i]"
EPILOGUE_SURVIVOR_FENN_B,"[i]""I don't know if I can ever be as brave as you,"" Danjef says as you high-five the young boy ""But if people like Jabba keep trying to hurt people like us, I promise to try. Well, when I'm older.""[/i]"
JR_SURVIVOR_DESCRIPTION_GAARKHAN_A,"Gaarkhan's niece"
JR_SURVIVOR_DESCRIPTION_GAARKHAN_B,"the Wookiee youngling"
JR_SURVIVOR_COMBINED_GAARKHAN_A,"Gaarkhan's niece Kitwarr"
JR_SURVIVOR_COMBINED_GAARKHAN_B,"the Wookiee youngling Kitwarr"
M_21_SURVIVOR_ONCLICK_GAARKHAN_A,"[i]Kitwarr, Gaarkhan's youngling niece, whimpers for help.[/i]"
M_21_SURVIVOR_ONCLICK_GAARKHAN_B,"[i]Kitwarr, a Wookiee youngling, whimpers for help.[/i]"
M_21_SURVIVOR_RESCUE_GAARKHAN,"[i]Scared, but happy to be saved, Kitwarr scrambles to safety.[/i]"
